Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Summary,Source,Search_Query,City_Scope,Keyword_Scope
Protec Fabricante de Equipamentos Médico Hospitalares,https://www.protec.com.br/,"Rodovia Bunjiro Nakao, 49800 - Caucaia do Alto, Cotia - SP, 06726-300, Brazil",4.6,55.0,+55 11 3132-9899,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Equipamed Equipamentos Médicos Ltda.,https://www.equipamed.com.br/,"R. Alto do Bonfim, 162 - Conj. Res. Jardim Canaa, São Paulo - SP, 04382-070, Brazil",5.0,3.0,+55 11 5564-1955,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Sensor Medical,http://sensormedical.com.br/,"R. José Mascarenhas, 1185 - Sala 7 - Vila Matilde, São Paulo - SP, 03515-000, Brazil",4.9,68.0,+55 11 98670-2655,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Polar Fix Trade and Industry Hospital Products,http://polarfix.com.br/,"R. Ruzzi, 607 - Sertãozinho, Mauá - SP, 09370-850, Brazil",4.3,66.0,+55 11 4512-8600,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Casa do Médico - Casa Cirúrgica em São Paulo - Loja de Produtos Hospitalares e Médicos,,"Alameda Campinas, 1245 - Jardim Paulista, São Paulo - SP, 01404-001, Brazil",4.8,85.0,+55 11 4750-2249,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Lojão das Clínicas Produtos Médicos e Hospitalares - São Paulo,http://lojaodasclinicassp.com.br/,"Rua Heitor Penteado, 1616 Próximo ao metro Vila Madalena - Vagas Exclusivas para clientes - Sumarezinho, São Paulo - SP, 05438-200, Brazil",4.9,110.0,+55 11 3673-3561,"sporting_goods_store, doctor, clothing_store, health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
MZ Medical Products,http://www.mzmedical.com.br/,"Av. Jandira, 569 - Indianópolis, São Paulo - SP, 04080-000, Brazil",4.4,14.0,+55 11 5056-0918,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Venkuri Indústria de Produtos Médicos Ltda.,http://www.venkuri.com.br/,"Rua Arbusto, 39 - Vila Liviero, São Paulo - SP, 04186-130, Brazil",2.8,13.0,+55 11 2331-1210,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Fisio Med artigos hospitalares Ltda.,http://www.fisio-medic.com.br/,"R. Pereira Estéfano, 168 - Vila da Saúde, São Paulo - SP, 04144-070, Brazil",4.7,170.0,+55 11 5594-5000,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Surgical São Paulo,http://www.cirurgicasaopaulo.com.br/,"R. Borges Lagoa, 825 - Vila Clementino, São Paulo - SP, 04038-034, Brazil",4.2,260.0,+55 11 5904-1700,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
