Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Source,Search_Query
Implacil Osstem,https://www.implacil.com.br/,"R. Cesário Ramalho, 821 - Cambuci, São Paulo - SP, 01515-000, Brazil",3.6,96.0,+55 11 3342-5100,"point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
DSP Biomedical,https://dspbiomedical.com/,"R. Mal. Floriano Peixoto, 303 - Ouro Verde II, Campo Largo - PR, 83606-200, Brazil",4.4,25.0,+55 800 600 8866,"store, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
MIS Implantes Brasil,https://misimplantes.com.br/empresa/contato/,"R. Henri Dunant, 873 - Chácara Santo Antônio, São Paulo - SP, 04709-110, Brazil",,,+55 11 3046-2222,"point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Singular Implants,https://singularimplants.com.br/,"R. Eucaliptos, 36 - Parque das Nacoes, Parnamirim - RN, 59154-265, Brazil",4.3,32.0,,"point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Implantec Brasil | Equipamentos odontológicos,https://www.implantecbrasil.com.br/,"R. João Antônio Cardoso, 192 - Ouro Preto, Belo Horizonte - MG, 31310-390, Brazil",4.2,40.0,+55 31 3498-3326,"store, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Bio Implante,http://www.bioimplante.com.br/,"R. Laureano García, 1275 - Distrito Industrial Marcus Vinícius Feliz Machado, Bauru - SP, 17039-760, Brazil",5.0,5.0,+55 14 4009-2400,"dentist, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Brasil Implantes - Odontologia e estética facial,http://www.bimplantes.com.br/,"QS 01 Lote 19, Connect Towers Sala 1520 - Águas Claras, Brasília - DF, 70297-400, Brazil",5.0,186.0,+55 61 99128-6626,"dental_clinic, dentist, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Osstem Implant Brasil,http://en.osstem.com/,"R. Dr. Rafael de Barros, 210 - sala 81 - Paraíso, São Paulo - SP, 04003-042, Brazil",5.0,5.0,+55 800 204 4046,"store, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Implant Brazil,,"Alameda dos Aicás, 1078 - Moema, São Paulo - SP, 04086-002, Brazil",4.7,66.0,+55 11 5532-1013,"dental_clinic, health, point_of_interest, establishment",Google Places API,Fabricante de Implantes Dentários Brasil
Endotec Medical,http://endotecmed.com.br/,"R. Sampaio Viana, 202 - Paraíso, São Paulo - SP, 04004-000, Brazil",5.0,1.0,+55 11 3884-8102,"store, health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
5S - Sistemas Médicos,http://5s.med.br/,"Av. Angélica, 927 - 11º andar - Santa Cecilia, São Paulo - SP, 01227-000, Brazil",4.9,34.0,+55 11 3826-8826,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
Loh Medical,https://www.lohmedical.com/pt-br,"R. Dr. Alfredo de Castro, 200 - Conjunto 1706 - Barra Funda, São Paulo - SP, 01155-060, Brazil",5.0,26.0,+55 11 2308-3673,"health, point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
GAMEZI Dispositivos Médicos,http://www.gamezi.com.br/,"R. Jaboatão, 620 - Casa Verde, São Paulo - SP, 02516-010, Brazil",4.8,11.0,+55 11 3855-4050,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
SHR Indústria Comércio Equipamentos Médicos,,"R. Cipriano Barata, 784 - Ipiranga, São Paulo - SP, 04205-000, Brazil",4.4,8.0,+55 11 2068-9391,"point_of_interest, establishment",Google Places API,Medical Device Manufacturer Sao Paulo
