Website,Email,Phone,Decision_Maker,LinkedIn_Company,LinkedIn_Person,Lead_Score,Priority
www.brainlab.com,comercial@www.brainlab.com,55 (89) 1993-2011,Rainer Birkenbach – Chief Executive Officer (CEO) at ...,https://www.linkedin.com/company/brainlab/,,95,High
www.maquira.com.br,contato@maquira.com.br,55 (44) 4009-5800,Fabricio Gebrin,https://www.linkedin.com/company/maquira/,,85,High
www.fanem.com.br,fiscal@fanem.com.br; contato@maurocardoso.com.br; licitacap4.sp@somahospitalar.com.br,55 (11) 2972-5700,Rubens Massaro,https://www.linkedin.com/company/fanem/,,85,High
www.angelus.ind.br,desenvolvedor03@beatz.com.br,55 (43) 2101-3200,CLAUDIA COLAFERRO,https://www.linkedin.com/company/angelus-industria-de-produtos-odontologicos-s-a/,,85,High
implacil.com.br,sac@implacil.com.br,55 (11) 3342-5100,Leonardo Pisano,https://www.linkedin.com/company/implacil-osstem/,,85,High
angelus.ind.br,desenvolvedor03@beatz.com.br,55 (43) 2101-3200,Paulo Calixto,https://www.linkedin.com/company/angelus-industria-de-produtos-odontologicos-s-a/,,85,High
www.braile.com.br,faleconosco@braile.com.br,55 (17) 2136-7000,Norberto Cesar Sgavioli,https://www.linkedin.com/company/brailebiomedica/,,85,High
www.bhiosupply.com.br,contato@bhiosupply.com.br,55 (51) 3459-4000,Silmar Candido,https://www.linkedin.com/company/bhiosupply/,,85,High
www.dabiatlante.com.br,contact@www.dabiatlante.com.br,55 (16) 98227-0297,Odontomed Dabi Atlante,https://www.linkedin.com/company/dabi-atlante/,,85,High
bonesurgical.com.br,phcomercio@outlook.com,55 (11) 94771-6386,Marcelo Ramalho,https://www.linkedin.com/company/bone-surgical/,,85,High
ortomedic.com.br,comercial@ortomedic.com.br,55 (11) 4123-9711,Tonimar Francisco Pereira,https://www.linkedin.com/company/ortomedic-group/,,85,High
www.gnatus.com.br,contato@gnatus.com.br,55 (17) 3321-6999,Alexandre Queiroz,https://www.linkedin.com/company/gnatus-equipamentos-odontologicos/,,85,High
https://www.bioteckimplants.com/,info@www.bioteckimplants.com,55 51 3272-2000,Shweta Patel - CEO,https://www.linkedin.com/company/bioteck-industria-e-comercio-de-imoprtacao-eexportacao-de-implantes/,,85,High
www.biomet.com,sales@www.biomet.com,,Joaquim Caetano,https://www.linkedin.com/company/biomet-3i/,,85,Medium
www.invisalign.com.br,%20privacidade@aligntech.com,,Felipe Barreiro,https://www.linkedin.com/company/align-technology/,,85,Medium
koppimplantes.com,atendimento@koppimplantes.com,55 (41) 3296-9687,Emerson Kopp,https://www.linkedin.com/company/kopp-sistema-de-implante-dental/,,80,High
www.derig.com.br,vendas@derig.com.br,55 (11) 98232-0041,Orlando Meirelles,https://www.linkedin.com/company/d-rig-ind-stria-e-com-rcio-de-materiais-m-dicos-odontol-gicos-ltda/,,80,High
www.dentfix.com.br,comercial@dentfix.com.br,55 (19) 3584-7272,Alexandre Augusto Alcolea,https://www.linkedin.com/company/dentfiximplantes/,,80,High
