Company,Website,Lead_Score,Email,Decision_Maker,Employees,Years_Active,City,State,FDA_Certified,CE_Certified,Products,LinkedIn_Company,Perplexity_Segment,Perplexity_City,Perplexity_State,Perplexity_Decision_Makers,Perplexity_Notes,Status,Nome Empresa,Address,Phone,Source,Predicted_Score,V2_Score,Renner_Score,Enrichment_Status,Scraped_Emails,Decision_Makers_Deep,LinkedIn_Person,Confidence_Score
Loh Medical,https://www.lohmedical.com/pt-br,5.0,infocostarica@lohmedical.com,Nadia Richez - Chief Executive Officer (CEO),0,20,,,False,False,,https://www.linkedin.com/company/lohmedical,,,,,,New Lead,Loh Medical,"R. Dr. Alfredo de Castro, 200 - Conjunto 1706 - Barra Funda, São Paulo - SP, 01155-060, Brazil",55 11 2308-3673,Google Places API,5.5,5.5,0.0,Complete,,,,70
Dental Med Sul Produtos Odontológicos,http://www.dentalmedsul.com.br/,8.0,contact@www.dentalmedsul.com.br,José Jack Donini - Diretor Comercial,0,2,,,True,True,,https://www.linkedin.com/company/dental-med-sul/,,,,,,New Lead,Dental Med Sul Produtos Odontológicos,"Complexo Administrativo - Rua Anne Frank, 5241 - Hauer, Curitiba - PR, 81730-010, Brazil",55 800 941 2490,Google Places API,5.5,5.5,0.0,Complete,exemplo@mail.com,,,80
Biodental Produtos,http://www.biodentalprodutos.com.br/,8.0,atendimento@www.biodentalprodutos.com.br,Leticia Zanini - CEO,0,25,,,True,True,,,,,,,,New Lead,Biodental Produtos,"Rua Antônio de Lucca, 20 - Sala 101 - Pio Corrêa, Criciúma - SC, 88801-240, Brazil",55 48 3433-5881,Google Places API,5.5,5.5,0.0,Complete,exemplo@mail.com,,,80
Bio Implante,http://www.bioimplante.com.br/,4.0,info@www.bioimplante.com.br,,0,30,,,False,False,,,,,,,,New Lead,Bio Implante,"R. Laureano García, 1275 - Distrito Industrial Marcus Vinícius Feliz Machado, Bauru - SP, 17039-760, Brazil",55 14 4009-2400,Google Places API,5.5,5.5,0.0,Complete,,,,70
Hartmann Indústria e Comércio de Produtos Médico-Hospitalares Ltda.,http://www.hartmann.com.br/,4.0,vendas@hartmann.com.br,Sales Director - Director; Operational Director - Director,0,40,,,False,False,,,,,,,,New Lead,Hartmann Indústria e Comércio de Produtos Médico-Hospitalares Ltda.,"Av. Dr. Eugênio Borges, 1410 - Arsenal, São Gonçalo - RJ, 24751-000, Brazil",55 21 2199-7555,Google Places API,4.5,4.5,0.0,Complete,hart@hartmann.com.br,,,70
Contourline Equipamentos Médicos e Diagnósticos,https://contourline.com.br/,5.0,sac@contourline.com.br,Égio Almeida - CEO,0,0,,,False,False,,,,,,,,New Lead,Contourline Equipamentos Médicos e Diagnósticos,"R. Joaquim Dias Drumond, 100 - Henrique Nery, Sete Lagoas - MG, 35700-333, Brazil",55 31 3775-0709,Google Places API,4.5,4.5,0.0,Complete,,,,70
Dental Fenix - Comércio de Material Odontológico,http://dentalfenix.com.br/,6.0,lojaonline@dentalfenix.com.br,Yoni Tserruya - Co-Founder & CEO,0,2,,,True,False,,,,,,,,New Lead,Dental Fenix - Comércio de Material Odontológico,"R. São Paulo, 1698 - Itoupava Seca, Blumenau - SC, 89012-001, Brazil",55 47 3326-2919,Google Places API,4.5,4.5,0.0,Complete,rh@dentalfenix.com.br,,,80
VMI Médica - Fábrica de equipamentos de Raios X em Minas Gerais,http://www.vmimedica.com/,6.0,info@www.vmimedica.com,Júlio Damião - Presumed Senior Executive (based on association with VMI and leadership roles),0,0,,,True,False,,https://www.linkedin.com/company/vmi-medica,,,,,,New Lead,VMI Médica - Fábrica de equipamentos de Raios X em Minas Gerais,"Alves da Silva - R. Pref. Eliseu Alves da Silva, 4000 - Distrito Industrial Genesco Aparecido De Oliveira, Lagoa Santa - MG, 33240-097, Brazil",55 31 3370-3750,Google Places API,4.5,4.5,0.0,Complete,comercial@vmimedica.com.br,,,80
OdontoCompany Blumenau - Itoupava,http://linktr.ee/odontocompany_itoupava,6.0,info@linktr.ee,Marcello Farrel - CEO,0,18,,,True,False,,,,,,,,New Lead,OdontoCompany Blumenau - Itoupava,"Rua Dr. Pedro Zimmermann, 6273 - sala 1 - Itoupava Central, Blumenau - SC, 89068-001, Brazil",55 47 99172-5354,Google Places API,4.5,4.5,0.0,Complete,,,,80
MKS Medical Technologies - Materiais Médicos,https://www.mksmed.com.br/,7.0,contato@mksmed.com.br,Marcos Kaufmann Scholz - Founder and CEO,0,0,,,True,False,,,,,,,,New Lead,MKS Medical Technologies - Materiais Médicos,"Av. Carlos Gomes, 466 - sala 1001 - Auxiliadora, Porto Alegre - RS, 90480-003, Brazil",55 51 3779-2074,Google Places API,4.5,4.5,0.0,Complete,contato@mksmed.com.br,,,80
