Scraped_Emails,Phone,index,Decision_Maker
contato@bioengenharia.com.br; bioengenharia@bioengenharia.com.br,(51) 3588-0880,76,
atendimento@rhosse.com.br,,105,
,(51) 3718-7000,31,
,(16) 99756-6883,96,
sac@farmatex.com.br; comercial@farmatex.com.br,(41) 3078-7760,126,
,,34,Cirurgião Dentista - Cirurgião; Especialista Implantodontia - Especialista; Médico Neurocirurgião - Médico
,(41) 3296-9687,13,
,(44) 3025-4650,116,São José - Médico; Médico Veterinário - Médico; Reprodução Humana - Líder
,(11) 6385-0006; (20) 4703-2307,41,
,(16) 3954-1464,42,Ultrassom Odontológico - dentista
atendimento@novadentalcenter.com.br,(48) 3224-0579; (48) 9838-6193,115,
comercial@bioadvance.com.br,,47,
,(11) 94771-6386; (11) 94720-6201,49,Estados Unidos - Líder
vendas@biodina.com.br; sac@biodina.com.br,(21) 4040-1111,84,
gerencia@dentalbrod.com.br,(47) 99146-6777; (47) 3026-5547,121,
contato@amerj.com.br,(21) 2236-1011; (21) 2493-6200,119,
,(19) 3765-9900,27,
,(11) 3568-1300,136,
,,18,You Covered - Head; Zimmer Biomet And Arnold Have - Head
,,55,Bioscience Medical - médico
,,30,Bioscience Medical - médico
,,12,Bioscience Medical - médico
,,45,Indústrias Médico Odontológicas - Médico
engenharia.clinica2019@outlook.com,(31) 99901-5182,165,
abimade@abimade.com.br; vendas@abimade.com.br,(11) 4622-7555; (11) 91413-4555,162,
comercial@ortomedic.com.br,(11) 4123-9711,74,
infosmi@stryker.com; hanlijun@trauson.com; nicole.chang@stryker.com,,178,
,(11) 3022-2588,70,
,(14) 98118-1788; (14) 98147-1783,17,
,(31) 3775-0709; (14) 2000-7270,122,
camedical@camedical.com.br,(21) 98454-9740; (21) 2499-0630,146,
relacionamento@medic.com.br,(16) 3289-8272,183,
,,141,Kevin Lobo - presidente; Spencer Stiles Presidente - Presidente
oximil@oximil.com.br; cassio.develop@gmail.com,(31) 3385-6268,180,
contato@vmgfarmaceutica.com.br,(31) 3115-6120,164,
,,132,Diretor Superintendente - Diretor
,(38) 3720-9943; (38) 99178-0379,95,
,(11) 94771-6386; (11) 94720-6201,174,Estados Unidos - Líder
contato@maximedsul.com.br,(51) 98406-8400; (51) 3342-0002,175,
,(41) 3019-9999,120,
atendimento@dentalsantaclara.com.br,(48) 99624-2676; (48) 3447-0300,150,
contato@dentalpaulista.com.br,(41) 98706-9492; (41) 3222-2426,134,
,(51) 98116-5986,182,
impol@impol.com.br,(11) 4070-6464; (11) 94289-1627,133,
cristiane.yajima@dentsplysirona.com; publicrelations@dentsplysirona.com,,21,Presidente Sênior - Presidente; Comunicações Corporativas - presidente; Presidente Executivo - Presidente
,(47) 98810-0928,202,
distribuidora@helfer.com.br,(51) 3024-8811,188,
,(48) 3223-0400,152,
contato@qualidental.com.br,(41) 98890-9748,173,
,(11) 2465-2199; (11) 2972-5700,14,
contato@vrmedical.com.br,,212,
sanitservicos@sanitservicos.com.br,(51) 3398-8646; (51) 98635-0520,197,
,(11) 3862-4427,158,
,(48) 3028-1030,201,
,(11) 3862-4427,94,
,(47) 99164-1110,203,
,,177,Chief Executive Officer - Chief Executive Officer; Executive Vice President - President; Worldwide Chairman - President
frontdesk@carolinaperioandimplants.com,,205,
comercial@medicalhealthrio.com.br,,118,
,(41) 3538-2344,233,
contato@magimplantes.com.br,(19) 3805-9292; (19) 99774-8188,157,
,(11) 2897-8023,185,
rangemed@rangemed.com.br,(11) 3106-7967; (11) 96782-1301,248,Range Med - Líder
atendimento@casamedica.com.br,(43) 99852-0605,153,Aparelho Médico - Médico; Equipamentos Médicos - médico; Especialista Agora - Especialista
,,204,Equipamento Médico Hospitalar - Médico; Material Médico Hospitalar - Médico
,,52,Public Markets - partner; Handelsbanken Capital Markets - partner; Swedbank Robur - CEO
5s@5s.med.br,(11) 3826-8826; (11) 98261-9923,139,
,(11) 6385-0006; (20) 4703-2307,191,
vendas@dentalparana.com.br; dentalparana@uol.com.br,(41) 99117-5247; (41) 3408-3070,238,
,,85,Clareamento Dental - Líder; Dental Group - Líder
,,16,Clareamento Dental - Líder; Dental Group - Líder
,(11) 97305-9835; (11) 3855-4050,143,
connectsolutioncenter@zimmerbiomet.com; smartkneesupport@zimmerbiomet.com; consumermarketing@zimmerbiomet.com,,179,Regulatory Affairs - President; Executive Vice President - President; Global Business Group - President
vendas@dentalcuritibana.com.br,(41) 3322-0449,244,
contact@veryverde.com,(71) 3015-9887,278,
contato@medlifeba.com.br,(71) 3024-6147,285,
sac@casadomedicoipanema.com.br,(21) 2522-0079; (21) 98259-0174,219,Comprar Aparelhos - Médico; Médico Ipanema - Médico; Produtos Médico - Médico
,(11) 3062-2600,226,
,(11) 2501-6272; (11) 3616-0409,187,
vendas@hospitalardistribuidora.com.br,,275,
,,147,Christian Storz - CEO
recepcao@condominiomundoplaza.com.br; eventos@condominiomundoplaza.com.br,(71) 3500-2555,294,
contato@sdental.com.br,(41) 99686-7108,236,
,,160,Rua Doutor Abelardo Vergueiro César - Doutor; São Paulo - Doutor
bioethica@bioethica.com.br,,290,
,,198,Balneário Barra - Dentista; Clínica Odontológica OdontoCompany - Dentista
comercial@singularimplants.com.br,(84) 99806-2299,213,
comercial@medicalmed.com.br,(51) 3026-5636,199,
contato@hsmed.com.br,(51) 99005-2002; (11) 3530-4243,181,
,(21) 2430-3133; (21) 96497-9743,220,Lojas Casa - Médico; Lojas Físicas - Médico; Produtos Hospitalares - Médico
sac@manancialmedical.com.br,(31) 99307-0522; (31) 3991-0184,245,
,(71) 98205-8363; (71) 3032-2600,284,
contato@odontostore.com.br,(41) 3010-3181; (41) 99785-1067,235,
,(71) 99167-1818; (71) 99177-0541,279,Alana Colares - Especialista; Torre Londres - CEO; Tancredo Neves - CEO
,(41) 99942-3003; (41) 99971-5959,169,
,,223,Cevi Med - owner
,(48) 3035-5797,255,Asamed Distribuidora - Médico
,(71) 98770-0804,280,
,(48) 99650-0500; (48) 3225-2359,276,
orcamento@matmedhospitalar.com,(85) 9827-0053,214,Equipamentos Médico - Médico
,,310,Médico Hospitalares - Médico
,(51) 99008-4643; (51) 98617-0133,186,Equipamentos Médico Hospitalar - Médico; Vestuário Médico - Médico
compliance@orthofix.com; transparency@orthofix.com,,192,
,(71) 3034-3044,289,
,,307,Diretor Comercial - Co-fundador
,(51) 3272-2000,140,Saúde Julio Cesar Viero Ruivo - presidente; Rafael Amaral - presidente; Bioteck Implants - presidente
,(51) 3012-7587; (11) 2364-8229,215,
,(71) 3451-1737; (11) 93500-1099,250,
,(41) 3322-5069,262,
,(81) 3721-4781; (81) 3366-4664,306,
sacs@trmedicohospitalar.com.br,,304,Médico Hospitalar - Médico; Quem Somos - Médico
,,295,Médico Nutrólogo - Médico
,(75) 3623-3477; (71) 3383-1040,319,
sac@dentalbusiness.com.br,(47) 99925-1113; (47) 3360-6725,256,
,(11) 98855-0531; (11) 2376-5820,252,
,(11) 3504-1570,267,
ekipamoveis@gmail.com,(71) 98501-8465; (71) 3042-1398,312,
,(71) 3254-6600,292,
medimplant@medimplant.com.br,(71) 3311-9150,317,
contato@odontodental.com.br,(47) 99636-0819; (47) 3013-1111,247,
dprosmed@dprosmed.com.br,(81) 3033-9090,308,
contato@mafmed.com.br,(81) 3445-5200; (81) 3072-6200,309,
,(48) 99974-6829,335,
,(71) 3023-2593,287,
,(61) 3351-7379,367,
comercial@techminas.com; administracao@techminas.com,(31) 3376-2638; (31) 99403-1208,218,Presidente Epitácio - Presidente; Presidente Alves - Presidente; Presidente Bernardes - Presidente
atendimento@seguard.com.br,(62) 3030-3684; (62) 3251-0100,227,Kits Odontológicos Descartáveis - dentista
,(61) 8345-8302; (61) 98345-8302,366,
,(79) 3211-5848; (71) 3351-2000,360,
,,249,Clareamento Dental - Líder; Dental Group - Líder
,(61) 3379-8897,370,
vendas@medicalprodutos.com.br,(41) 3042-0997; (41) 3042-0996,273,
contato@bahiafix.com.br,(71) 99257-6077,355,
marketing@fortecare.com.br,(41) 3888-4466,231,Indústria Fabricante - Médico; Forte Care Indústria Fabricante - Médico; Produtos Médico Hospitalares - Médico
contato@francinespessatto.com.br,,339,
,(71) 3354-4555,347,Implante Master - fundador; Igor Brandão - cirurgião; Gustavo Nelli - especialista
,(71) 3354-4555,351,Implante Master - fundador; Igor Brandão - cirurgião; Gustavo Nelli - especialista
,,315,Reposição Hormonal - Especialista; Saúde Masculina - Especialista
,(61) 3204-3040; (31) 7351-3200,398,
bahiamed@bahiamed.com.br,(71) 3264-9699; (71) 99938-9506,358,
,(61) 3366-3999; (61) 99922-3243,391,Diretor Clínico - Diretor; Harmonização Orofacial - Especialista
financeiro@dentalmac.com.br,(82) 3336-4900; (82) 9909-6271,354,
dentallegal@yahoo.com,,406,
,(71) 99989-7579,337,
implantarodontologiamoderna@gmail.com,,395,Prótese Dentária - Especialista; Cirurgiã Dentista - Dentista; Instituto Lenza - Especialista
atendimento@poliexpress.com.br,(71) 3392-3970; (71) 3341-0268,283,
recantodoctor@gmail.com,(45) 4819-0148; (78) 95742-1613,403,
contato@meets.com.br,,408,
,(81) 99684-0060; (81) 3227-0344,298,Tupan Saúde - médico
