nome_empresa,website,telefone,endereco,rating,reviews,source,segmento,cidade,estado,email,v2_score,predicted_score,enrichment_status,decision_makers_apollo,apollo_emails,decision_makers,decision_makers_emails
Neodent (Straumann),www.straumann.com/neodent,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,feedback.nam@neodent.com,10.0,9.0,Pending,,,"[""Guillaume Daniellot - Chief Executive Officer"", ""Matthias Schupp - CEO Neodent""]",
Stryker Brasil,www.stryker.com/br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,São Paulo,SP,csbrasil@stryker.com,10.0,7.0,Pending,,,,
BIOMET 3I DO BRASIL COMÉRCIO DE AP. MÉDICOS LTDA,www.biomet.com,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,ana.haas@zimmerbiomet.com,10.0,9.5,Pending,,,,
Neodent Straumann,www.neodent.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Curitiba,PR,info.it@straumann.com,10.0,9.5,Pending,,,,
Conexão Sistemas de Prótese,www.conexao.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Arujá,SP,comercial@conexao.com.br,10.0,10.0,Pending,,,"[""Rodolfo Candia Alba Junior - Presidente""]",
Dentsply Sirona,,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Pirassununga,SP,atendimento@dentsplysirona.com,9.5,8.0,Pending,,,"[""Daniel Scavilla - President and CEO"", ""Unknown - Executive Vice President, Chief Commercial Officer"", ""Unknown - Senior Vice President, Global Business Units""]",
NEOORTHO Produtos Ortopédicos,www.neoortho.com.br,+55 (41) 3535-1105,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,Curitiba,PR,nfe@neoortho.com.br,9.5,9.5,Pending,,,"[""Dr. Geninho Thom\u00e9 - Presidente e Fundador"", ""Pedro Carvalho - Diretor Industrial"", ""Irineu Vitor Leite - Vice-Presidente""]",
FGM Dental Products,www.fgm.ind.br,+55 (47) 3305-7358,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,Joinville,SC,fgm@fgm.ind.br,9.5,9.5,Pending,,,"[""Bianca Mittelst\u00e4dt - CEO"", ""Edilson Bianqui - Diretor""]","[""bianca@fgm.ind.br""]"
CONEXÃO SISTEMAS DE PRÓTESE LTDA,www.conexao.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,comercial@conexao.com.br,9.5,9.5,Pending,,,"[""Dr. Rodolfo - Presidente""]",
Kopp Implantes,koppimplantes.com,+55 (41) 3296-9687,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@koppimplantes.com.br,9.0,9.0,Pending,,,"[""Emerson Kopp - CEO"", ""Dr. Gino Kopp - Founder""]",
S.I.N. Sistema de Implante,www.sinimplante.com.br,+55 (11) 99242-4071,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,bia@keypress.com.br,9.0,9.0,Pending,,,"[""Felipe Leonard - Presidente & CEO""]",
EMFILS INDÚSTRIA E COMÉRCIO PRODUTOS ODONTOLÓGICOS LTDA EPP,www.emfils.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,giovana.pereira@alliage-global.com,9.0,9.0,Pending,,,,
Biomecanica,www.biomecanica.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,Jaú,SP,,9.0,9.0,Pending,,,"[""Jos\u00e9 Roberto Pengo - Presidente"", ""Ana Carolina Pengo - CEO"", ""S\u00f4nia Pengo - Diretora de Compras e Log\u00edstica""]",
EFF DENTAL COMPONENTES LTDA,www.effdental.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,marketing@effdental.com.br,9.0,9.0,Pending,,,,
A S TECHNOLOGY COMPONENTES ESPECIAIS LTDA ME - TITANIUMFIX,www.titaniumfix.com.br,+55 (12) 98126-9820,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,vendas@titaniumfix.com.br,9.0,9.0,Pending,,,"[""Sergio Pistoni - Supervisor Administrativo"", ""Erhard Harry Fische - Gerente De Desenvolvimento De Produtos"", ""Marcello Rienzi - ""]",
IMPLACIL OSSTEM - MATERIAL ODONTOLOGICO S.A.,http://www.implacildebortoli.com.br/,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,9.0,9.0,Pending,,,,
IMPOL,www.impol.com.br,+55 (11) 94289-1627,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,impol@impol.com.br,9.0,9.0,Pending,,,,
Implacil De Bortoli,www.implacil.com.br,+55 (11) 3342-5100,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@implacilosstem.com.br,9.0,9.0,Pending,,,"[""Aluizio Canto - CEO"", ""Thiago Toni - Quality Manager""]","[""thiago@implacil.com.br""]"
Biomecânica,www.biomecanica.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,Jaú,SP,leticia.besse@biomecanica.com.br,9.0,9.0,Pending,,,"[""Jos\u00e9 Roberto Pengo - Presidente do Conselho"", ""Ana Carolina Pengo - CEO"", ""S\u00f4nia Pengo - Diretora de Compras""]",
A S Technology - TitaniumFix,www.titaniumfix.com.br,+55 (12) 98126-9820,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,vendas@titaniumfix.com.br,9.0,9.0,Pending,,,,
Titaniumfix,https://www.titaniumfix.com/,+55 12 3929-5504,"R. Profa. Ana Isabel Barbosa, 207 - Jardim Diamante, São José dos Campos - SP, 12223-180, Brazil",4.4,14.0,Google Places Advanced,Implantes Odontológicos,,,vendas@titaniumfix.com.br,9.0,9.0,Pending,,,,
BIONNOVATION PRODUTOS BIOMÉDICOS S.A.,http://www.bionnovation.com.br/,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,sac@bionnovation.com.br,9.0,9.0,Pending,,,,
Ortosíntese,ortosintese.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,ortosintese@ortosintese.com.br,9.0,9.0,Pending,,,"[""Ricardo Barcellos - CEO"", ""Tatiane Galindo - Executive Director""]",
Conexão Dental,,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,,9.0,9.0,Pending,,,"[""Dr. Rodolfo Candia - Fundador e Presidente"", ""Rodolfo Candia Alba Junior - Presidente""]",
S.I.N. Implant System,www.sinimplantsystem.com,,,,,MASTER_ENRICHED_LEADS,Implantes Odontológicos,,,international@sinimplantsystem.com,9.0,9.0,Pending,,,"[""Felipe Leonard - President/CEO"", ""Patrick Dewey - Leader of S.I.N. Dental USA""]",
BIOMECÂNICA INDÚSTRIA E COMÉRCIO DE PRODUTOS ORTOPÉDICOS LTDA,www.biomecanica.com.br,,,,,MASTER_ENRICHED_LEADS,Implantes Ortopédicos,,,sac@biomecanica.com.br,8.5,8.5,Pending,,,,
