Nome Empresa,Website,Address,Rating,Reviews,Phone,Types,Summary,Source,Search_Query,City_Scope,Keyword_Scope
Unitec Hospitalar,http://www.unitec-hospitalar.com.br/,"Av. Eng. Armando de Arruda Pereira, 1293 - Jabaquara, São Paulo - SP, 04309-010, Brazil",4.7,15.0,+55 11 5011-9291,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Casa do Médico - Casa Cirúrgica em São Paulo - Loja de Produtos Hospitalares e Médicos,,"Alameda Campinas, 1245 - Jardim Paulista, São Paulo - SP, 01404-001, Brazil",4.8,85.0,+55 11 4750-2249,"health, store, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Equipamentos Médicos in São Paulo, SP","São Paulo, SP",Fabricante de Equipamentos Médicos
Novatech Distribuidora Médica,,"R. Barata Ribeiro, 237 - Salas 52, 53 e 103 - Bela Vista, São Paulo - SP, 01313-001, Brazil",5.0,2.0,+55 11 3259-6508,"store, health, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
INJET MED INDUSTRIA E COMERCIO DE PRODUTOS MEDICOS E HOSPITALARES,http://injetmed.com.br/,"Rua Francesco Fiorotto, 150 - Nova Gerti, São Caetano do Sul - SP, 09572-510, Brazil",5.0,3.0,+55 11 4232-8777,"store, health, point_of_interest, establishment",,Google Places Advanced,"Indústria de Materiais Hospitalares in São Paulo, SP","São Paulo, SP",Indústria de Materiais Hospitalares
Implacil Osstem,https://www.implacil.com.br/,"R. Cesário Ramalho, 821 - Cambuci, São Paulo - SP, 01515-000, Brazil",3.6,96.0,+55 11 3342-5100,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
S.I.N. Implant System LTDA,,"R. Sd. Ocimar Guimarães da Silva, 440 - Vila Rio Branco, São Paulo - SP, 03348-060, Brazil",4.6,12.0,,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Implant Brazil,,"Alameda dos Aicás, 1078 - Moema, São Paulo - SP, 04086-002, Brazil",4.7,67.0,+55 11 5532-1013,"dental_clinic, point_of_interest, health, establishment",,Google Places Advanced,"Fabricante de Implantes Dentários in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Dentários
Ocx Implantes,http://ocximplantes.com.br/,"R. João Pacheco, 89 - Luz, São Paulo - SP, 01107-030, Brazil",4.0,1.0,+55 11 4306-4274,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Implantes Ortopédicos in São Paulo, SP","São Paulo, SP",Fabricante de Implantes Ortopédicos
Factory Instrumental Cirúrgico,http://www.factorycirurgico.com.br/,"R. Ambrosia do México, 392 - Jardim Cidade Pirituba, São Paulo - SP, 02945-040, Brazil",4.2,5.0,+55 11 3972-4847,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
Instrumed Instrumentos Cirúrgicos,,"R. Dos Lírios, 08 - Jd. Bela Vista, Mairiporã - SP, 07662-055, Brazil",5.0,1.0,+55 11 4280-6749,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Instrumentos Cirúrgicos in São Paulo, SP","São Paulo, SP",Fabricante de Instrumentos Cirúrgicos
"Reabilit orthopedic bracing, prosthesis and wheelchairs",http://www.ortopediareabilit.com.br/,"R. Sátiro Dias, 45 - Jardim Pres. Dutra, Guarulhos - SP, 07170-160, Brazil",4.9,114.0,+55 11 2279-2958,"shoe_store, store, health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Próteses in São Paulo, SP","São Paulo, SP",Fabricante de Próteses
Laboratório de Prótese Dental Aluísio | Protético,,"R. Teodoro Sampaio, 2550 - 9° Andar - Sala 92 - Pinheiros, São Paulo - SP, 05406-200, Brazil",5.0,2.0,+55 11 3493-5712,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Próteses in São Paulo, SP","São Paulo, SP",Fabricante de Próteses
Silicomed,http://silicomed.ind.br/,"R. Votorantim, N° 20 - Vila Vivaldi, São Bernardo do Campo - SP, 09616-000, Brazil",5.0,13.0,+55 11 4317-7006,"point_of_interest, establishment",,Google Places Advanced,"Fabricante de Próteses in São Paulo, SP","São Paulo, SP",Fabricante de Próteses
Franmar - Reformas móveis hospitalares e de clínicas,,"R. Joaquim Lapas Veiga, 597 - Jardim Gilda Maria, São Paulo - SP, 05550-010, Brazil",5.0,7.0,+55 11 2508-3056,"furniture_store, home_improvement_store, home_goods_store, point_of_interest, store, establishment",,Google Places Advanced,"Fabricante de Móveis Hospitalares in São Paulo, SP","São Paulo, SP",Fabricante de Móveis Hospitalares
SOS Aluguel de camas hospitalares em São Paulo,,"R. Deodato Saraiva da Silva, 243 - Artur Alvim, São Paulo - SP, 03694-090, Brazil",5.0,54.0,+55 11 97831-3199,"health, point_of_interest, establishment",,Google Places Advanced,"Fabricante de Móveis Hospitalares in São Paulo, SP","São Paulo, SP",Fabricante de Móveis Hospitalares
Medley S/A Indústria Farmacêutica,,"Av. das Nações Unidas, 14401 - Vila Gertrudes, São Paulo - SP, 04794-000, Brazil",5.0,6.0,+55 11 3361-2056,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Apsen Brasil Indústria Química Farmacêutica,,"R. Nilo Placona, 55 - Santo Amaro, São Paulo - SP, 04753-200, Brazil",5.0,1.0,+55 11 5641-2305,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Nenhum,,"R. América Central, 130 - Santo Amaro, São Paulo - SP, 04755-010, Brazil",4.7,3.0,+55 11 5642-0255,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Brasterapica Indústria Farmacêutica Ltda,,"R. Bela Cintra, 299 - an 7+CJ7172 - Consolação, São Paulo - SP, 01415-000, Brazil",5.0,2.0,,"point_of_interest, health, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
Blau Pharma S.A. (branch SP),http://www.blau.com.br/,"Rua Adherbal Stresser, 84 - Jardim Arpoador, São Paulo - SP, 05566-000, Brazil",4.5,12.0,+55 11 4615-9400,"point_of_interest, establishment",,Google Places Advanced,"Indústria Farmacêutica in São Paulo, SP","São Paulo, SP",Indústria Farmacêutica
