id;created_at;updated_at;original_url;enhanced_url;name;description;category;brand;model;original_filename;file_size;custom_prompt;processed_by;is_featured;is_visible
e3fcb930-be6c-4af4-986e-bab8f55ac532;2025-11-24 19:26:04.695167+00;2025-11-24 19:26:04.695167+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1764012363119-WhatsApp%20Image%202025-10-08%20at%2010.43.23.jpeg;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1764012363484-instrumentos-guias-para-cirurgia.png;Instrumentos guias para cirurgia;Conjunto de hastes de precisão, fabricadas em titânio ou aço inox, que servem como guias ou componentes de fixação em procedimentos cirúrgicos. Apresentam diferentes pontas e perfis para diversas aplicações, como brocas, escariadores ou auxiliares de implantação.;surgical_instruments;Não identificável;Não identificável;WhatsApp Image 2025-10-08 at 10.43.23.jpeg;36194;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
22b6cd74-55b4-4ee2-9bf2-7520b41f9816;2025-11-24 19:26:05.485864+00;2025-11-24 19:26:05.485864+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1764012364015-WhatsApp%20Image%202025-10-08%20at%2010.43.23%20(4).jpeg;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1764012364381-componentes-de-implante-espinhal.png;Componentes de Implante Espinhal;Conjunto de diversos componentes metálicos de precisão, incluindo parafusos pediculares e conectores, utilizados em cirurgias de estabilização da coluna vertebral. São fabricados em materiais biocompatíveis como titânio e aço inoxidável, garantindo resistência e segurança para implantação.;medical_spinal;Não identificada;Não identificado;WhatsApp Image 2025-10-08 at 10.43.23 (4).jpeg;23127;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
a2006481-a852-4d43-a7ba-65d5578324d6;2025-11-24 19:26:05.834001+00;2025-11-24 19:26:05.834001+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1764012364269-WhatsApp%20Image%202025-10-08%20at%2010.43.24.jpeg;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1764012364814-componentes-de-implantes-espinhais.png;Componentes de Implantes Espinhais;Componentes metálicos de precisão em titânio ou aço inoxidável, incluindo uma haste e outros elementos que podem fazer parte de um sistema de fixação vertebral. Utilizados em cirurgias de coluna para estabilização.;medical_spinal;;;WhatsApp Image 2025-10-08 at 10.43.24.jpeg;8851;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
50004efd-d573-483c-8dbe-b015c95cb3ff;2025-11-24 19:26:07.875072+00;2025-11-24 19:26:07.875072+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1764012365249-WhatsApp%20Image%202025-10-08%20at%2010.43.02.jpeg;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1764012366813-medidor-de-profundidade-de-implante-dental.png;Medidor de profundidade de implante dental;Instrumento de precisão usado para medir a profundidade de preparações para implantes dentais ou o comprimento de parafusos. Possui marcações graduadas em milímetros para garantir a precisão na cirurgia. A variante com marcações amarelas pode indicar uma faixa de medição específica ou um material diferenciado para melhor visualização.;surgical_instruments;;;WhatsApp Image 2025-10-08 at 10.43.02.jpeg;19029;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
af409b51-6f04-4c1c-9b15-da4d26fc9277;2026-01-02 17:21:04.213736+00;2026-01-02 17:21:04.213736+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767374461618-Citizen%20l32.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767374462762-torno-monouso-cnc-citizen-l20x-com-cool-blaster.png;Torno monouso CNC Citizen L20X com Cool Blaster;Este é um torno monohusos Citizen L20X, uma máquina CNC de alta precisão conhecida por sua capacidade de usinagem complexa e eficiente. Apresenta um sistema Cool Blaster MIST CONTROL B50 integrado, que provavelmente gerencia o fluxo de refrigeração e névoa para otimizar os processos de corte e acabamento, essencial para a manufatura de componentes médicos e odontológicos de alta qualidade.;equipment_cnc;Citizen;L20X;Citizen l32.png;114510;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
b2f13eb1-b29c-454f-8f1e-3724504f622a;2026-01-02 17:21:04.781656+00;2026-01-02 17:21:04.781656+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767374462140-Citizen.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767374463260-torno-cnc-citizen-m32.png;Torno CNC Citizen M32;Torno CNC de alta precisão projetado para usinar componentes complexos em uma única operação. Ideal para fabricação de peças médicas e dentais que exigem superfícies e geometrias intrincadas.;equipment_cnc;Citizen;M32;Citizen.png;110030;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
2455572f-b550-415b-aa4f-0553fc29998f;2026-01-02 17:21:09.499145+00;2026-01-02 17:21:09.499145+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767374467786-Citizen%20L20-X%20E.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767374468392-torno-cnc-citizen-l20.png;Torno CNC Citizen L20;Uma retífica do tipo torno CNC de alta precisão, especificamente um torno suíço, projetado para usinar peças complexas com alta precisão e repetibilidade. É amplamente utilizado na fabricação de implantes dentários, parafusos ortopédicos e outros componentes médicos que exigem tolerâncias apertadas.;equipment_cnc;Citizen;L20;Citizen L20-X E.png;80388;;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
edfaa187-70ae-4dd8-8f6f-80ac1ac7a0f3;2026-01-02 17:34:39.273922+00;2026-01-02 17:34:39.273922+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767375275949-sala%20limpa%202.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767375277439-sala-limpa-(layout-geral).png;Sala Limpa (Layout Geral);Ambiente controlado com paredes e piso azul, typical de salas limpas para fabricação ou montagem de produtos médicos/dentais de alta precisão. Observam-se janelas de visualização para áreas operacionais internas e iluminação adequada para ambientes de produção. As mesas no lado direito sugerem uma área de apoio ou laboratório adjacente.;industrial;;;sala limpa 2.png;176415;"apenas melhore a qualidade da imagem, como uma camera profissional.
";7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
dc7aa8e6-b19b-4ee5-8ae4-3a8b895005f3;2026-01-02 17:35:10.451375+00;2026-01-02 17:35:10.451375+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767375307623-sala%20limpa%201.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767375308978-unidade-de-tratamento-de-ar-(uta).png;Unidade de Tratamento de Ar (UTA);Essa imagem mostra uma Unidade de Tratamento de Ar (UTA), equipamento essencial para manter ambientes controlados limpos, com temperatura e umidade estáveis. Utilizada em salas limpas na manufatura média, garante a qualidade do ar filtrado, ideal para processos de eletropolimento e outras etapas de acabamento que requerem condições estáveis.;industrial;;;sala limpa 1.png;266913;"apenas melhore a qualidade da imagem, como uma camera profissional.
";7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
7af07391-62f9-4871-be0d-a7268446e131;2026-01-02 17:52:16.80605+00;2026-01-02 17:52:16.80605+00;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/originals/1767376335031-sala%20limpa%202.png;https://iijkbhiqcsvtnfernrbs.supabase.co/storage/v1/object/public/processed-products/enhanced/1767376335649-sala-limpa.png;Sala Limpa;Ambiente controlado projetado para a produção de implantes e instrumentos médicos, garantindo a baixa concentração de partículas no ar. Essencial para a fabricação de dispositivos médicos que exigem esterilidade e alta precisão.;industrial;Não aplicável;Não aplicável;sala limpa 2.png;176415;Melhore as imagens como se fosse de uma camera hiper profissional e detalhada. ;7c50ab82-3d70-4062-876c-78a7300c5e4c;false;true
